id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code
7148,0CT1,heliport,"Bristol-Myers Squibb Company Heliport",41,-73,350,NA,US,US-CT,Wallingford,no,0CT1,,0CT1
7149,0CT2,heliport,"Windham Hospital Heliport",42,-72,330,NA,US,US-CT,Willimantic,no,0CT2,,0CT2
7150,0CT3,heliport,"N B G H Heliport",42,-73,431,NA,US,US-CT,"New Britain",no,0CT3,,0CT3
7151,0CT4,heliport,"Burke Heliport",42,-73,400,NA,US,US-CT,Prospect,no,0CT4,,0CT4
7152,0CT5,heliport,"St Francis Hospital Heliport",42,-73,184,NA,US,US-CT,Hartford,no,0CT5,,0CT5
7153,0CT6,heliport,"Middletown Heliport",42,-73,113,NA,US,US-CT,Middletown,no,0CT6,,0CT6
7154,0CT7,heliport,"Bridgeport Hospital Heliport",41,-73,80,NA,US,US-CT,Bridgeport,no,0CT7,,0CT7
7155,0CT8,heliport,"Danbury Hospital Heliport",41,-73,510,NA,US,US-CT,Danbury,no,0CT8,,0CT8
7156,0CT9,heliport,"Hartford Hospital Heliport",42,-73,211,NA,US,US-CT,Hartford,no,0CT9,,0CT9
7157,0D6,closed,"Wilber Municipal Airport",40,-97,1400,NA,US,US-NE,Wilber,no,,,
7158,0D7,small_airport,"Ada Airport",41,-84,949,NA,US,US-OH,Ada,no,0D7,,0D7
7159,0.00E+00,small_airport,"Corydon Airport",41,-93,1020,NA,US,US-IA,Corydon,no,K0E9,,0.00E+00
7160,0FA0,heliport,"Doral Resort & Country Club Heliport",26,-80,6,NA,US,US-FL,Miami,no,0FA0,,0FA0
7161,0FA1,small_airport,"Ott's Landing Airport",27,-82,65,NA,US,US-FL,Arcadia,no,0FA1,,0FA1
7162,0FD0,small_airport,"The 2A Ranch Airport",29,-81,40,NA,US,US-FL,"Ormond Beach",no,0FD0,,0FD0
7163,0FD1,heliport,"Panhandle Helicopter LLC Heliport",30,-86,20,NA,US,US-FL,"Panama City Beach",no,0FD1,,0FD1
7164,0FD2,heliport,"Dolphin Stadium Heliport",26,-80,8,NA,US,US-FL,Miami,no,0FD2,,0FD2
7165,0FD3,small_airport,"Dugger Field",30,-86,70,NA,US,US-FL,Freeport,no,0FD3,,0FD3
7166,0FD4,closed,"Cloverleaf Farms II Inc Heliport",29,-82,100,NA,US,US-FL,Reddick,no,,,
7167,0FD5,small_airport,"Breezy Knoll Airport",31,-86,235,NA,US,US-FL,"Defuniak Springs",no,0FD5,,0FD5
7169,0FD9,small_airport,"Joy Farms Airport",31,-86,290,NA,US,US-FL,"Defuniak Springs",no,0FD9,,0FD9
7170,0FL0,small_airport,"Harper's Fly-In Ranch Airport",27,-81,30,NA,US,US-FL,Clewiston,no,0FL0,,0FL0
7171,0FL1,closed,"Thompson Airfield",30,-83,110,NA,US,US-FL,Branford,no,,,
7172,0FL2,seaplane_base,"Alligator Drink Seaplane Base",29,-81,19,NA,US,US-FL,Geneva,no,0FL2,,0FL2
7173,0FL3,heliport,"Old Town Ems Heliport",30,-83,25,NA,US,US-FL,"Old Town",no,0FL3,,0FL3
7174,0FL4,heliport,"Jackson Heliport",31,-85,110,NA,US,US-FL,Alford,no,0FL4,,0FL4
7175,0FL5,seaplane_base,"Lake Conway South Seaplane Base",28,-81,80,NA,US,US-FL,"Belle Isle",no,0FL5,,0FL5
7176,0FL6,small_airport,"Stanchester Airport",28,-82,96,NA,US,US-FL,Lithia,no,27FA,,27FA
7177,0FL7,heliport,"Wcpx Tv-6 Heliport",29,-81,114,NA,US,US-FL,Orlando,no,0FL7,,0FL7
7179,0FL9,small_airport,"Mc Daniel Ranch Inc. Airport",26,-81,18,NA,US,US-FL,Clewiston,no,0FL9,,0FL9
7180,0G0,small_airport,"North Buffalo Suburban Airport",43,-79,588,NA,US,US-NY,Lockport,no,K0G0,,0G0
7181,0G5,seaplane_base,"Grand Marais/Cook County Seaplane Base",48,-90,1635,NA,US,US-MN,"Grand Marais",no,0G5,,0G5
7182,0GA0,small_airport,"Halls Flying Ranch Airport",33,-84,800,NA,US,US-GA,Hampton,no,0GA0,,0GA0
